title,author,genre,description
The Great Gatsby,F. Scott Fitzgerald,Fiction,"A story of wealth, class, and the elusive American Dream set in the Roaring Twenties, following the mysterious millionaire Jay Gatsby and his obsession with the beautiful Daisy Buchanan"
To Kill a Mockingbird,Harper Lee,Fiction,"Seen through the eyes of young Scout Finch, this Pulitzer Prize-winning novel explores racial injustice and moral growth in Depression-era Alabama as her father Atticus defends a Black man falsely accused of a crime"
1984,George Orwell,Dystopia,"A chilling portrait of a totalitarian society where Big Brother watches every move, Winston Smith secretly rebels against a government that controls history, language, and thought itself"
Dune,Frank Herbert,Science Fiction,"An epic saga set on the desert planet Arrakis, where young Paul Atreides navigates treacherous political intrigue, ecological mysticism, and his destiny as a prophesied leader among the Fremen people"
The Hobbit,J.R.R. Tolkien,Fantasy,"Reluctant hobbit Bilbo Baggins is swept into an unexpected adventure with thirteen dwarves and the wizard Gandalf to reclaim the dwarves' mountain kingdom from the fearsome dragon Smaug"
Pride and Prejudice,Jane Austen,Romance,"A witty and perceptive novel about Elizabeth Bennet navigating love, pride, and social expectations in Regency England as she clashes with the aloof and wealthy Mr. Darcy"
Brave New World,Aldous Huxley,Dystopia,"In a future World State engineered for stability and happiness, Bernard Marx questions a society built on genetic predetermination, conditioning, and soma — a drug that keeps citizens blissfully compliant"
The Alchemist,Paulo Coelho,Philosophical Fiction,"A young Andalusian shepherd named Santiago journeys from Spain to the Egyptian desert in search of buried treasure and discovers that the real treasure lies within, guided by omens and the Soul of the World"
Sapiens,Yuval Noah Harari,Non-Fiction,"A sweeping intellectual history of humankind from the Stone Age through the twenty-first century, exploring how Homo sapiens came to dominate the planet through cognitive revolution, agriculture, and shared myths"
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,"Hapless Arthur Dent is whisked off Earth seconds before it is demolished to make way for a hyperspace bypass, beginning a wildly absurdist journey through the universe with his alien friend Ford Prefect"
